,compound_id,docking_score,rdkit_smiles,rank
544,CPD000650111,-9.053,Cc1c(CCC(=O)N2CCC(C(=O)O)CC2)c(=O)oc2cc3oc4c(c3cc12)CCCC4,544.5
47822,CPD002393883,-4.864,O=C(COc1ncnc2ccc(Br)cc12)Nc1ccc(F)c(F)c1,47816.0
74190,CPD000671663,-4.002,CN(C(=O)CSc1nnc(N)s1)C1CCCCC1,74197.5
56340,CPD000070896,-4.638,COc1ccc2cc(S(=O)(=O)N3CCN(C)CC3)ccc2c1,56332.0
17470,CPD002485971,-5.785,Cc1ccc(-c2c(NC(=O)c3ccco3)n(-c3ccc(C)cc3)nc(C)c2=O)cc1,17482.5
45831,CPD002395550,-4.912,COc1cc(Cl)c(C)cc1NC(=O)CSc1nnc(C)n1-c1ccccc1,45849.0
38303,CPD002368837,-5.108,CCn1c(=O)n(CC)c2cc(N3CCCCC3)c(NC(=O)Nc3cc(OC)ccc3OC)cc21,38316.5
67603,CPD000713874,-4.293,O=C(CCN1C(=O)C2CCCCC2C1=O)N1CCN(S(=O)(=O)c2ccccc2)CC1,67602.0
69570,CPD001898473,-4.217,COc1ccc(NC(=O)Cn2c(=O)c3cccn3c3ccccc32)cc1OC,69573.0
8932,CPD002408994,-6.327,O=C(c1cccc(F)c1)N1CCN(c2cn[nH]c(=O)c2Cl)CC1,8927.5
26164,CPD002373752,-5.456,O=C(Nc1ccccc1Cl)c1nc2ccccc2nc1N1CCCCC1,26169.5
79429,CPD002406660,-3.571,CC1CC(=O)Nc2ccccc2N1C(=O)CN(C)C(=O)c1cc(Cl)cc(Cl)c1,79426.0
7384,CPD000260082,-6.514,Cc1[nH]c2ccccc2c1C(=O)CSc1ccc(Cl)cc1,7384.5
82137,CPD002429248,-2.925,CC/C=C(/C)C(=O)NC(C)Cc1ccc(Br)cc1,82136.5
62896,CPD002428486,-4.449,O=C(O)/C=C/c1cc(Cl)ccc1OC(F)F,62888.5
52641,CPD002394267,-4.738,O=C(c1cc(=O)c2ccccc2o1)N1CCC(Cc2ccccc2)CC1,52628.5
58240,CPD000136601,-4.583,O=C(c1cccc(S(=O)(=O)N2CCOCC2)c1)N1CCN(c2ccc(F)cc2)CC1,58243.0
2675,CPD002414532,-7.943,CC(C)(C)c1ccc(C(=O)NCCC(=O)O)cc1,2676.5
55445,CPD002368825,-4.662,CCOc1cc(C(=O)OCc2cc(=O)n3nc(C4CC4)sc3n2)cc(OCC)c1OCC,55445.0
4273,CPD000273067,-7.234,O=C(CN1C(=O)C2CCCCC2C1=O)Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,4272.5
9385,CPD002441007,-6.282,CCc1ccc(C(=O)COC(=O)C(NC(=O)c2ccc(CC)cc2)C(C)C)cc1,9386.0
39171,CPD002375311,-5.086,Cc1ccc2[nH]c(C(=O)NCc3cccs3)cc2c1,39175.5
48448,CPD002443580,-4.847,Fc1cccc(-c2nc(-c3ccccc3)no2)c1,48445.5
82434,CPD002431977,-2.749,COc1ccc(/C=C/C(=O)Oc2ccc3oc4ccccc4c3c2)cc1OC,82435.0
66751,CPD000034618,-4.324,CC1(C)CC(=O)C2=C(C1)OC(N)=C(C#N)C21C(=O)N(CN2CCOCC2)c2ccccc21,66744.0
44672,CPD002408948,-4.941,Cc1noc(CS(=O)(=O)Cc2ccccc2C)n1,44662.5
56617,CPD000625173,-4.629,CCc1nn(CC(=O)NCCCN2CCN(C)CC2)c(=O)c2cc3occc3n12,56625.0
25532,CPD002486312,-5.477,CCc1cc(=O)oc2cc(OCC(=O)NCc3ccncc3)ccc12,25531.5
43346,CPD001628111,-4.975,Cc1ccccc1NC(=O)C1CCCN(c2cnc3ccccc3n2)C1,43357.0
19167,CPD002408100,-5.712,COC1CCN(CC(=O)Nc2cccc(C(=O)Nc3cccc(C(F)(F)F)c3)c2)CC1,19171.5
12880,CPD002430718,-6.019,O=C(Nc1cccc(-c2nnnn2C2CC2)c1)NC1CCCCCC1,12886.5
56536,CPD002393348,-4.632,O=C(COc1ccc2c(-c3ccccc3)cc(=O)oc2c1)NC1CCCCC1,56525.0
67566,CPD000601446,-4.295,CC(=O)Nc1ccc(NC(=O)C2CCCN(S(=O)(=O)c3ccc(-n4cnnn4)cc3)C2)cc1,67554.0
67491,CPD002398307,-4.297,Cc1ccc(NC(=O)Cc2nc(-c3cc(C)n(-c4cc(C)on4)c3C)cs2)cc1,67505.5
76979,CPD002428585,-3.816,C=CCNC(=O)N(C)Cc1ccc(C(N)=O)cc1,76982.5
57706,CPD002453621,-4.598,COc1ccc(C(=O)Nc2oc3c(C)cccc3c(=O)c2-c2ccccc2)cc1,57724.0
56987,CPD000315448,-4.619,COc1ccc(C(=O)C2CCCN(Cc3cnc(N4CCOCC4)s3)C2)c(OC)c1,56992.5
45843,CPD002394112,-4.912,COc1ccc2c(-c3ccccc3)cc(SCC(=O)NC3CC3)nc2c1,45849.0
65357,CPD002417974,-4.371,COc1cccc(/C=C/c2nc3cc(C)c(C)cc3s2)c1OC,65352.5
11041,CPD002394781,-6.145,CCCCCn1nc(C(=O)OCC(=O)NC(C)c2ccccc2)c2ccccc2c1=O,11037.5
