,compound_id,rdkit_smiles,docking_score,rank
2602,CPD002500054,CC(C)Cc1ccc(C(=O)O)s1,-5.924,3238.0
580,CPD000650199,CCc1cc(=O)oc2c(C)c(OC(C)C(=O)NC[C@H]3CC[C@H](C(=O)O)CC3)ccc12,-8.661,639.0
162,CPD002454570,Cn1c(=O)c2nc(SCC(=O)O)n(CCc3ccccc3)c2n(C)c1=O,-9.26,185.0
3390,CPD001621407,CCOc1cc(-c2ccc(C)cc2)nc2ccc(C(=O)N3CCCC3)cc12,-4.456,6066.0
6554,CPD002489350,COc1ccc(CNC(=O)c2sc(NC(C)C)nc2C)cc1,-5.228,4476.5
25,CPD002486806,O=C(O)c1ccc(N2C(=O)C/C(=C/c3c[nH]c4ccccc34)C2=O)cc1,-9.949,27.0
450,CPD002441759,Cc1c(C(=O)O)cccc1-c1ccc(C=C(C#N)C#N)o1,-8.796,499.0
1082,CPD002366476,Cc1ccc(CNc2ccc(C(=O)O)cc2)cc1,-8.167,1181.5
4317,CPD000275414,CC1CCN(C(=O)CSc2nc(O)c3ccccc3n2)CC1,-6.626,2391.0
1923,CPD001847537,O=C1CC(c2ccc(Cl)cc2)c2sc(C(=O)O)c(-c3ccc(F)cc3)c2N1,-7.021,2132.5
6641,CPD002429806,CC(=O)c1ccc(NC(=O)NCCCN(C)CC(F)(F)F)cc1,-4.572,5852.0
978,CPD002373265,O=C(O)c1ccc(OCc2nnnn2-c2ccc(Br)cc2)cc1,-8.248,1062.5
5912,CPD002430994,COCc1ccccc1C(=O)NCC(O)c1ccccc1C(F)(F)F,-4.553,5878.5
2740,CPD002499643,NC(=O)C(=O)Nc1ccccc1C(=O)NCc1cccnc1,-5.711,3567.5
1830,CPD002416243,COc1cc(/C=C(/C#N)C(=O)O)cc(Cl)c1OC(C)C,-7.214,2017.5
1158,CPD002364054,COC(=O)c1ccc2cc(C(=O)O)ccc2c1,-8.099,1262.0
4105,CPD002436409,Cc1ccc(-c2nn(-c3cc(N4CCOCC4)ccc3[N+](=O)[O-])c(=O)c3ccccc23)cc1,-3.845,6721.0
2593,CPD002393229,O=C(NCc1ccncc1)c1cc(-c2ccc(F)cc2)nc2ccccc12,-5.939,3224.0
6287,CPD000043049,COc1ccc(C)cc1NC(=O)CSc1nnc(-c2ccccn2)n1Cc1ccco1,-5.086,4788.5
331,CPD002395765,O=C(Cn1nc(C(=O)O)c2ccccc2c1=O)NC(=O)c1ccc(Cl)cc1,-8.973,368.0
2049,CPD000371856,CCOC(=O)c1ccc(S(=O)(=O)NNC(=O)c2ccc3c(c2)nc(C)n3CC)cc1,-6.744,2306.5
4391,CPD002484465,COc1ccc(-c2noc(CSc3nc4ccc(Cl)cc4o3)n2)cc1,-5.544,3871.0
2763,CPD000372403,O=C(O)CSc1ccc(F)cc1,-5.67,3624.5
3348,CPD002371591,C=CCNC(=O)c1cc(-c2ccc(OC)cc2)nc2ccc(C(C)C)cc12,-4.589,5822.0
4373,CPD002500859,COCCCN1CCC(CN)C1,-4.296,6308.0
2630,CPD000278153,CCCc1ccc(C(=O)O)s1,-5.883,3300.5
3961,CPD002401384,O=C(CNC(=O)c1ccc(Cl)cc1Cl)NCc1cnn(-c2ccccc2)c1,-5.459,4039.5
6158,CPD000117322,O=C(CCN1C(=O)c2ccccc2C1=O)Nc1ccccc1C(=O)N1CCOCC1,-4.8,5418.5
5375,CPD002404953,c1csc(C(Nc2ccc3nnnn3n2)c2ccc3c(c2)CCC3)c1,-5.126,4687.5
1841,CPD002488491,Cc1cc(N2CCN(C(C(=O)O)c3c[nH]c4ccc(Br)cc34)CC2)nc2ccccc12,-7.199,2029.5
1103,CPD002325837,COc1ccc(C(=O)OCc2ncc(-c3ccccc3)o2)c(O)c1,-8.152,1204.0
2286,CPD002439916,O=C(CSc1nc2ccc(NC(=O)c3ccc(Br)cc3)cc2s1)NC1CCCCC1,-6.353,2673.5
5895,CPD001270058,CC(=O)NC12CC3CC(C1)CC(C(=O)N1CCN(S(=O)(=O)c4cccs4)CC1)(C3)C2,-4.509,5974.5
938,CPD002484141,Cc1ccc(-c2cc(C(=O)O)c3cccc(C)c3n2)s1,-8.287,1016.5
5926,CPD002418555,CC(C)Cc1ccc(C(C)NC(=O)CCNC(=O)C(C)(C)C)cc1,-4.578,5840.0
6923,CPD001246743,CC(=O)Nc1ccc(S(=O)(=O)N(C)CC(=O)Nc2nc3ccccc3[nH]2)cc1,-5.552,3858.5
4551,CPD002370973,CCN(CC)c1nc2ccccc2nc1C(=O)Nc1ccc(F)cc1Cl,-5.452,4057.0
1986,CPD002413513,O=C(/C=C/c1ccc(F)cc1)c1ccc(O)cc1,-6.884,2215.0
875,CPD000646804,Cc1c(OCC(=O)N[C@@H](Cc2ccccc2)C(=O)O)ccc2c3c(c(=O)oc12)CCC3,-8.345,949.5
4979,CPD002431926,O=S(=O)(Cc1ccccc1)Cc1cc(Cl)c2c(c1)OCO2,-5.855,3337.5
5227,CPD002439657,CC1CN(C2CCCCC2)CCC1=O,-4.088,6541.5
1519,CPD002441139,CC(C)NC(=O)/C(C#N)=C/c1ccc(C(=O)O)cc1,-7.758,1659.0
225,CPD000516548,O=C(O)c1cc(S(=O)(=O)NC(CO)C(O)c2ccc([N+](=O)[O-])cc2)ccc1Br,-9.134,256.0
937,CPD002454623,Cn1c(=O)c2nc(SCCC(=O)O)n(Cc3ccc(F)cc3)c2n(C)c1=O,-8.287,1016.5
6749,CPD002394914,O=C(Cc1c[nH]c2ccccc12)Nc1ccc2ccccc2c1,-4.725,5562.5
6999,CPD002369816,Cn1ccc2cc(S(=O)(=O)N3CCC(C(=O)N4CCOCC4)CC3)ccc21,-3.904,6696.0
5854,CPD002373929,COCCNC(=O)C[S+]([O-])Cc1nc(-c2ccc(C)cc2)oc1C,-5.584,3787.5
