,rdkit_smiles
63820,CC(C#N)CN(C)C(=O)CCNC(=O)OCC(F)(F)F
65599,CCCCCCCCS(=O)(=O)CCSCCO
47623,O=C(O)CCS(=O)(=O)CCC(=O)O
66582,CCOC(=O)C(NC(=O)NC)C(F)(F)F
64783,CCCCOCCCNC(=O)CCC(=O)NCC(CC)CCCC
52838,CC(C)C(NC(N)=O)C(=O)O
42478,COc1ccc(C)cc1S(=O)(=O)N1CCN(c2ccc(C)cc2C)CC1
54295,CC(C)(CNC(=O)C1CC1)CNC(=O)C1CC1
67698,COCCCNC(=O)C(=O)NN
55006,CCC(C)(CC(=O)O)CC(=O)O
68078,CC(=O)NN=C(C)C
70085,CCOCCCNC(=O)N[C@H](C(=O)O)C(C)CC
61171,CCCCN(CC(N)=O)CC(=O)NC(N)=O
50026,CC(C)=NNC(=O)CCC(=O)NN=C(C)C
73001,Cc1ccc(S(=O)(=O)N2CCCC2C(=O)O)cc1
2673,COc1ccc2cc(S(=O)(=O)N3CCCC3)ccc2c1
50100,CN(C)CCCNC(=O)C=NO
55543,CC(Cl)C(=O)NC(=O)NC(C)(C)C
65601,CCCCCCCCSCC(=O)O
69317,CCCCCCCCCCCCSCC(=O)O
69427,CC(=O)NC(NC(C)=O)C(Cl)(Cl)Cl
81896,COc1ccc(S(=O)(=O)N2CCOC23CCN(S(=O)(=O)c2cc(C)ccc2OC)CC3)cc1
64467,C=C(Br)CNCCCC
66496,O=C(O)CCC(=O)C(CC(=O)O)CC(=O)O
49456,CC(C)C(Br)C(=O)NC(N)=O
69851,O=C(CN(CC(=O)NCCO)C(=O)C(=O)N(CC(=O)NCCO)CC(=O)NCCO)NCCO
50755,CCCCOC(=O)C[N+](C)(C)C/C=C(/C)Cl
65654,CC(=O)NC(NC(C)=O)C(O)C(O)C(O)C(O)CO
65267,C#CCOC(=O)CCC(=O)NCCCCCCCCCCCC
69323,CCCCCCCCCCCC[S+]([O-])CCC(=O)O
71025,CCCCCCCCCC[S+]([O-])CCC(=O)O
52157,COC(=O)NC(NC(=O)OC)C(Cl)(Cl)Cl
69773,C[N+](C)(CC(=O)O)C[Si](C)(C)C
686,COc1ccc2cc(S(=O)(=O)N3CCN(C)CC3)ccc2c1
58969,CCOC(=O)CSC(C(=O)NC(N)=O)C(C)C
62858,CCCS(=O)(=O)NC(C)C(=O)O
81894,COc1ccc(S(=O)(=O)N2CCOC23CCN(S(=O)(=O)c2ccc(F)cc2C)CC3)cc1
63028,CCCN(CCO)CC(=O)NC(CC)CC
69672,CCCCCCCC(=O)NN=CC(C)=NNC(=O)CCCCCCC
81895,COc1ccc(S(=O)(=O)N2CCOC23CCN(S(=O)(=O)c2cc(C)ccc2C)CC3)cc1
69521,CCN=C(S)NNC(=O)C(C)C
69322,CCCCCCCCS(=O)(=O)CCOS(=O)(=O)CCCCCCCC
61564,CCOC(=O)C(NC(=O)C1C2CC3CC(C2)CC1C3)C(=O)OCC
65590,CCCCCCCCSCC(N)=O
66546,CCCCCCCCCCCC(=O)NN=CC(CC)CCCC
69360,CCCC[S+]([O-])CCC(=O)O
