,ID,smiles,score,rdkit_smiles
113,2503057,COc1ccc(CNC(=O)[C@H](Cc2ccccc2)NC(=O)C2CCN(CC2)C(=O)[C@H](C)N)cc1,-5.547,COc1ccc(CNC(=O)[C@H](Cc2ccccc2)NC(=O)C2CCN(C(=O)[C@H](C)N)CC2)cc1
114,2511939,CCCNC(=O)CN1CCN(CC1)S(=O)(=O)c1ccc(Br)s1,-4.208,CCCNC(=O)CN1CCN(S(=O)(=O)c2ccc(Br)s2)CC1
115,2510876,Brc1ccc(s1)S(=O)(=O)N1CCN(CC1)C(=O)c1ccco1,-4.839,O=C(c1ccco1)N1CCN(S(=O)(=O)c2ccc(Br)s2)CC1
116,2504858,CC12CN(CC(CN(C1)C(=O)c1ccco1)(C2=O)c1ccccc1)C(=O)c1ccco1,-6.782,CC12CN(C(=O)c3ccco3)CC(c3ccccc3)(CN(C(=O)c3ccco3)C1)C2=O
117,2500967,CCCC12CN(CC(CCC)(CN(C1)C(=O)c1ccco1)C2=O)C(=O)c1ccco1,-6.047,CCCC12CN(C(=O)c3ccco3)CC(CCC)(CN(C(=O)c3ccco3)C1)C2=O
118,2581346,CC(CCc1ccccc1)NCc1ccc(cc1)C(O)=O,-4.147,CC(CCc1ccccc1)NCc1ccc(C(=O)O)cc1
119,2581392,C(NC1CC1)\C=C\c1ccccc1,-5.248,C(=C/c1ccccc1)\CNC1CC1
120,2578037,C(NCC1CCCO1)\C=C\c1ccccc1,-5.347,C(=C/c1ccccc1)\CNCC1CCCO1
121,2582669,C(NCc1cccc2[nH]ccc12)C1CCCO1,-6.201,c1cc(CNCC2CCCO2)c2cc[nH]c2c1
122,2571431,OC(=O)CC(C(O)=O)c1ccccc1,-5.591,O=C(O)CC(C(=O)O)c1ccccc1
123,2565033,[O-][N+](=O)c1ccc(CC#N)cc1,-5.244,N#CCc1ccc([N+](=O)[O-])cc1
124,2509560,Cc1ccc(s1)C(=O)NCC(=O)N1CCN(CC1)S(=O)(=O)c1cccs1,-5.514,Cc1ccc(C(=O)NCC(=O)N2CCN(S(=O)(=O)c3cccs3)CC2)s1
125,2509560,Cc1ccc(s1)C(=O)NCC(=O)N1CCN(CC1)S(=O)(=O)c1cccs1,-5.766,Cc1ccc(C(=O)NCC(=O)N2CCN(S(=O)(=O)c3cccs3)CC2)s1
126,2501071,CC(Oc1ccc2c(c1)oc(=O)c1ccccc21)C(=O)NC[C@H]1CC[C@@H](CC1)C(O)=O,-7.2,CC(Oc1ccc2c(c1)oc(=O)c1ccccc12)C(=O)NC[C@H]1CC[C@H](C(=O)O)CC1
127,2500691,COc1ccc2c(c1)oc(=O)c1ccccc21,-7.214,COc1ccc2c(c1)oc(=O)c1ccccc12
128,2500067,CCc1cc(=O)oc2cc(C)cc(OC(C)C(=O)NC[C@H]3CC[C@@H](CC3)C(O)=O)c12,-7.056,CCc1cc(=O)oc2cc(C)cc(OC(C)C(=O)NC[C@H]3CC[C@H](C(=O)O)CC3)c12
129,2500017,Cc1ccc(cc1)S(=O)(=O)N1CCC(CC1)C(=O)Nc1ccc2C(=O)OCc2c1,-7.607,Cc1ccc(S(=O)(=O)N2CCC(C(=O)Nc3ccc4c(c3)COC4=O)CC2)cc1
130,2504685,Cc1cc(NC(=O)C2CCN(CC2)S(=O)(=O)c2c[nH]cn2)ccc1Br,-7.748,Cc1cc(NC(=O)C2CCN(S(=O)(=O)c3c[nH]cn3)CC2)ccc1Br
131,2568723,C(NC12CC3CC(CC(C3)C1)C2)c1cccs1,-5.221,c1csc(CNC23CC4CC(CC(C4)C2)C3)c1
132,2555853,CC(Cc1c[nH]c2ccccc12)NC(=O)CCNc1nc(Cl)nc2nc[nH]c12,-3.531,CC(Cc1c[nH]c2ccccc12)NC(=O)CCNc1nc(Cl)nc2nc[nH]c12
133,2531899,CC(C)(C)NC(=O)NC(=O)COC(=O)CCCc1c[nH]c2ccccc12,-6.872,CC(C)(C)NC(=O)NC(=O)COC(=O)CCCc1c[nH]c2ccccc12
134,2583860,NC(=N)Nc1ccc(F)cc1,-5.388,N=C(N)Nc1ccc(F)cc1
135,2544816,COc1cc(CNCC2CCNCC2)ccc1OCc1ccccc1Cl,-5.51,COc1cc(CNCC2CCNCC2)ccc1OCc1ccccc1Cl
136,2566378,C\C(=N\NC(N)=O)c1ccc(cc1)[N+]([O-])=O,-6.074,C/C(=N/NC(N)=O)c1ccc([N+](=O)[O-])cc1
137,2561196,CC(=NNC(N)=O)c1ccc(Br)cc1,-5.889,CC(=NNC(N)=O)c1ccc(Br)cc1
138,2582753,CC(=O)Nc1ccc(cc1)C(\C)=N\NC(N)=S,-5.959,CC(=O)Nc1ccc(/C(C)=N/NC(N)=S)cc1
139,2580683,CNC(=NC)c1ccc(cc1)[N+]([O-])=O,-5.342,CN=C(NC)c1ccc([N+](=O)[O-])cc1
140,2582747,CN(C)N=C(S)Nc1ccc(cc1)[N+]([O-])=O,-5.497,CN(C)N=C(S)Nc1ccc([N+](=O)[O-])cc1
141,2570375,NC(=O)Nc1ccc(cc1)[N+]([O-])=O,-5.964,NC(=O)Nc1ccc([N+](=O)[O-])cc1
142,2572346,CC(C)NC(=O)Nc1ccc(CN)cc1,-4.837,CC(C)NC(=O)Nc1ccc(CN)cc1
143,2570636,NCc1ccc(NC(N)=O)cc1,-5.52,NCc1ccc(NC(N)=O)cc1
144,2575525,CSc1ccc(NC(C)=O)cc1,-5.063,CSc1ccc(NC(C)=O)cc1
145,2560060,CSc1ccc(cc1)C(C)=O,-4.676,CSc1ccc(C(C)=O)cc1
146,2574482,CC(C)C(C)NC(=O)Nc1ccc(NC(C)=O)cc1,-4.367,CC(=O)Nc1ccc(NC(=O)NC(C)C(C)C)cc1
147,2565294,CC(=O)Nc1ccc(SC2CCCCC2=O)cc1,-5.53,CC(=O)Nc1ccc(SC2CCCCC2=O)cc1
148,2562884,CC(C)Oc1ccc(NC(C)=O)cc1,-5.747,CC(=O)Nc1ccc(OC(C)C)cc1
149,2503767,CC(=O)Nc1ccc(CC(O)=O)cc1,-5.858,CC(=O)Nc1ccc(CC(=O)O)cc1
150,2503767,CC(=O)Nc1ccc(CC(O)=O)cc1,-5.85,CC(=O)Nc1ccc(CC(=O)O)cc1
151,2566820,NC(S)=NN=C(S)NCC=C,-4.007,C=CCNC(S)=NN=C(N)S
152,2501966,O=C(C1CCN(CC1)S(=O)(=O)c1c[nH]cn1)N(CCc1ccccc1)Cc1ccccc1,-7.454,O=C(C1CCN(S(=O)(=O)c2c[nH]cn2)CC1)N(CCc1ccccc1)Cc1ccccc1
153,2501133,COc1cccc(OCc2cc(no2)C(=O)N2CCN(CC2)C(=O)c2ccco2)c1,-6.617,COc1cccc(OCc2cc(C(=O)N3CCN(C(=O)c4ccco4)CC3)no2)c1
154,2552020,Cn1c(NCc2c[nH]c3ccccc23)nc2ccccc12,-7.208,Cn1c(NCc2c[nH]c3ccccc23)nc2ccccc21
155,2569756,CC(C)(C)c1cc(cc(c1O)C(C)(C)C)C(c1cccs1)c1c[nH]c2ccccc12,-6.977,CC(C)(C)c1cc(C(c2cccs2)c2c[nH]c3ccccc23)cc(C(C)(C)C)c1O
156,2568611,NCC(c1cccs1)c1c[nH]c2ccccc12,-5.449,NCC(c1cccs1)c1c[nH]c2ccccc12
157,2563100,OC(=O)CC(C(O)=O)c1c[nH]c2ccccc12,-6.409,O=C(O)CC(C(=O)O)c1c[nH]c2ccccc12
158,2559820,CC(CC(O)=O)c1c[nH]c2ccccc12,-6.062,CC(CC(=O)O)c1c[nH]c2ccccc12
159,2559117,OC(=O)CC(c1c[nH]c2ccccc12)c1ccncc1,-6.078,O=C(O)CC(c1ccncc1)c1c[nH]c2ccccc12
160,2560741,OC(=O)C(NCc1ccco1)c1c[nH]c2ccccc12,-6.204,O=C(O)C(NCc1ccco1)c1c[nH]c2ccccc12
