,compound_id,smiles,docking_score,rdkit_smiles,VALUE_NUM_mean,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate,rank,top_100
2958,ZINC000667359107,CCn1cnc(C(=O)NCCOCCC(C)C)c1,-3.7559,CCn1cnc(C(=O)NCCOCCC(C)C)c1,-3.7559,,-0.0,0,218.0,0
7713,ZINC000362593408,C=C[C@H](C)NC(=O)[C@H](NC(=O)N1CCCC1)[C@H](C)CC,-3.75761,C=C[C@H](C)NC(=O)[C@H](NC(=O)N1CCCC1)[C@H](C)CC,-3.75761,,-0.0,0,219.0,0
4794,ZINC000249170616,CCCCN(CCO)C(=O)N[C@@H]1C[C@H]2OCCC[C@@H]12,-3.75793,CCCCN(CCO)C(=O)N[C@@H]1C[C@H]2OCCC[C@@H]12,-3.75793,,-0.0,0,220.0,0
6351,ZINC000185979503,CCC[C@H](C)C(=O)Nc1ccc(C[C@H](C)C(=O)OC)cc1,-3.75827,CCC[C@H](C)C(=O)Nc1ccc(C[C@H](C)C(=O)OC)cc1,-3.75827,,-0.0,0,221.0,0
6778,ZINC000315478407,O=C(O)CC1(NS(=O)(=O)c2cccc([N+](=O)[O-])c2)CCCC1,-3.75849,O=C(O)CC1(NS(=O)(=O)c2cccc([N+](=O)[O-])c2)CCCC1,-3.75849,,-0.0,0,222.0,0
7389,ZINC000281225654,CNC(=O)[C@]1(C)CCN(C(=O)N[C@@H]2c3ccccc3CCC[C@@H]2C)C1,-3.76145,CNC(=O)[C@]1(C)CCN(C(=O)N[C@@H]2c3ccccc3CCC[C@@H]2C)C1,-3.76145,,-0.0,0,223.0,0
5886,ZINC000342010544,CCOCCO[C@H](C)C(=O)N1CC2(C1)CCOC2,-3.76404,CCOCCO[C@H](C)C(=O)N1CC2(CCOC2)C1,-3.76404,,-0.0,0,224.0,0
1687,ZINC000496145033,CCOC(=O)N1CC[C@H](NC(=O)CCCC(C)C)C1,-3.76612,CCOC(=O)N1CC[C@H](NC(=O)CCCC(C)C)C1,-3.76612,,-0.0,0,225.0,0
5267,ZINC000528653726,COCCCn1cc(C(=O)NC2CN(C(C)=O)C2)cn1,-3.77636,COCCCn1cc(C(=O)NC2CN(C(C)=O)C2)cn1,-3.77636,,-0.0,0,226.0,0
7086,ZINC000010371262,Cc1ccc(C)c(N([C@H](C)C(=O)Nc2ccccc2C)S(C)(=O)=O)c1,-3.77853,Cc1ccc(C)c(N([C@H](C)C(=O)Nc2ccccc2C)S(C)(=O)=O)c1,-3.77853,,-0.0,0,227.0,0
