,compound_id,smiles,docking_score,rdkit_smiles,VALUE_NUM_mean,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate,rank,top_100
8909,ZINC000134845062,O=C(CSc1ccncc1)N[C@H]1CCN(c2ncccc2Cl)C1,-6.65727,O=C(CSc1ccncc1)N[C@H]1CCN(c2ncccc2Cl)C1,-6.65727,,-0.0,0,6136.0,0
5785,ZINC000343248594,CC[C@H](NC(=O)C(=O)N1CCC[C@H](c2ccnn2C)C1)C(C)(C)C,-6.39217,CC[C@H](NC(=O)C(=O)N1CCC[C@H](c2ccnn2C)C1)C(C)(C)C,-6.39217,,-0.0,0,5240.0,0
7924,ZINC000444262005,COC(=O)[C@@H]1CC12CCN(C[C@H]1CCCN(S(C)(=O)=O)C1)CC2,-6.39804,COC(=O)[C@@H]1CC12CCN(C[C@H]1CCCN(S(C)(=O)=O)C1)CC2,-6.39804,,-0.0,0,5257.0,0
9068,ZINC000127643494,Cc1cc(Br)cc(C(=O)N(C)CCn2cccn2)c1,-6.46534,Cc1cc(Br)cc(C(=O)N(C)CCn2cccn2)c1,-6.46534,,-0.0,0,5480.0,0
7617,ZINC000357030530,COC(=O)[C@@H]1Cc2ccccc2CN1C(=O)CN(C)[C@H](C)C1CCC1,-6.41178,COC(=O)[C@@H]1Cc2ccccc2CN1C(=O)CN(C)[C@H](C)C1CCC1,-6.41178,,-0.0,0,5309.0,0
7957,ZINC000456530616,O=C(N[C@@H]1CCO[C@H](c2cccs2)C1)[C@@H]1CN2CCN1CCC2,-5.848,O=C(N[C@@H]1CCO[C@H](c2cccs2)C1)[C@@H]1CN2CCCN1CC2,-5.848,,-0.0,0,3393.0,0
5434,ZINC000332886047,C[C@H](NC(=O)N1CCC[C@H]1c1nc2ccccc2[nH]1)[C@@H]1CCCOC1,-7.51995,C[C@H](NC(=O)N1CCC[C@H]1c1nc2ccccc2[nH]1)[C@@H]1CCCOC1,-7.51995,,-0.0,0,8568.0,0
3476,ZINC000331022437,C[C@@H](N[C@H](CO)c1ccsc1)C(=O)N1CCC(C)CC1,-6.02406,CC1CCN(C(=O)[C@@H](C)N[C@H](CO)c2ccsc2)CC1,-6.02406,,-0.0,0,3998.0,0
6408,ZINC000051778115,C=CCc1cc(CNC(=O)N2CCO[C@H](C)C2)cc(OC)c1OC,-6.32745,C=CCc1cc(CNC(=O)N2CCO[C@H](C)C2)cc(OC)c1OC,-6.32745,,-0.0,0,5009.0,0
5711,ZINC000266618760,CCCCOCC(=O)NCCn1c(C)nnc1S,-2.11803,CCCCOCC(=O)NCCn1c(C)nnc1S,-2.11803,,-0.0,0,7.0,1
