ID smiles score
CPD000009513 Cn1c(=O)n(C)c2nc(Br)n(Cc3ccccc3Cl)c2c1=O -4.840
CPD002394552 CCCCn1c(=O)n(CC(=O)NCc2ccc(Cl)cc2)c(=O)c3n(CC(C)C)cnc13 -3.332
CPD002376253 CCOc1cccc(c1)C(=O)Nc2ccc(OCC)c3ncccc23 -6.131
CPD001632764 CN(C)CCNC(=O)c1cc(nc2ccccc12)c3ccc(C)c(C)c3 -5.236
CPD002370215 COC(=O)c1cnc(N2CCN(CC2)c3ccccc3)c4ccccc14 -3.605
CPD002367220 CCCCN(C)S(=O)(=O)c1c(C)n(C)c(C)c1C(=O)OCC -4.176
CPD000595121 Cc1ccc(cc1)c2nc(C#N)c(o2)N3CCC(CC3)C(=O)N -5.355
CPD000009571 Cn1c(=O)[nH]c2n(CCc3ccccc3)c(nc2c1=O)c4ccccc4 -4.283
CPD001633022 Cc1ccc(CNC(=O)Cc2c[nH]c3ccccc23)cc1 -3.508
CPD002376254 CCOc1ccc(NC(=O)C(CC)Oc2ccccc2F)c3cccnc13 -2.893
CPD002394553 CCCCn1c(=O)n(CC(=O)NCc2ccc(C)cc2)c(=O)c3n(Cc4ccco4)cnc13 -3.246
CPD002373334 CCC(C)(N(C(=O)CNC(=O)c1ccccc1)c2ccc(C)cc2)C(=O)NC3CCCCC3 -1.638
CPD002370216 COC(=O)c1cnc(N2CCN(CC2)c3ccccn3)c4ccccc14 -3.260
CPD002367221 CCOC(=O)c1c(C)n(C)c(C)c1S(=O)(=O)Nc2cc(Cl)ccc2OC -3.657
CPD000595236 O=C(NCc1ccccc1)c2cnc3ccccc3n2 -5.219
CPD001633026 Cc1cccc(NC(=O)Cc2c[nH]c3ccccc23)c1C -2.812
CPD000009754 CCCCn1c(SCC(=O)c2ccccc2)nc3n(C)c(=O)[nH]c(=O)c13 -5.336
CPD002394554 Clc1ccc(cc1)S(=O)(=O)Nc2nc3ccccc3nc2N4CCCCC4 -5.801
CPD002376255 CCOc1ccc(NC(=O)C(CC)Oc2ccc(F)cc2)c3cccnc13 -3.466
CPD000009757 CSc1nc2n(C)c(=O)[nH]c(=O)c2n1C/C=C/C -3.532
CPD002367222 CCOC(=O)c1c(C)n(C)c(C)c1S(=O)(=O)Nc2ccc(OC)c(Cl)c2 -3.156
CPD000595266 CCN1CCN(CC1)C(=O)c2cc(=O)c3cc(C)ccc3o2 -5.197
CPD002373335 O=C(NC1CCCC1)C2(CCCCC2)N(Cc3ccco3)C(=O)c4ccc5OCOc5c4 -6.966
CPD001633180 Fc1ccc2[nH]c(cc2c1)c3cccc(NC(=O)C4CC4)c3 -3.554
CPD002370217 CCN1CCN(CC1)c2ncc(C(=O)OC)c3ccccc23 -5.709
CPD002394555 O=C(NCc1ccccc1)c2ccc(cc2)S(=O)(=O)N3CCc4ccccc4C3 -5.865
CPD000009759 C/C=C/Cn1c(SCc2ccc(Cl)cc2)nc3n(C)c(=O)[nH]c(=O)c13 -4.575
CPD002376256 CCOc1ccc(NC(=O)COc2ccc(CC)cc2)c3cccnc13 -4.232
