,compound_id,smiles,docking_score,rdkit_smiles,VALUE_NUM_mean,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate,rank
9399,ZINC000346427027,C=CCn1cccc1-c1nc(-c2cccc3cnccc32)no1,-6.38697,C=CCn1cccc1-c1nc(-c2cccc3cnccc23)no1,-6.38697,,-0.0,0,5216.0
9072,ZINC000004978022,Cc1cccc(-c2noc(/C=C/c3ccccc3Cl)n2)c1,-6.36747,Cc1cccc(-c2noc(/C=C/c3ccccc3Cl)n2)c1,-6.36747,,-0.0,0,5164.0
7751,ZINC000493109563,Cc1cc(C)cc(/C=C/C(=O)N2CCC[C@@]3(CCNC3)C2)c1,-6.79257,Cc1cc(C)cc(/C=C/C(=O)N2CCC[C@@]3(CCNC3)C2)c1,-6.79257,,-0.0,0,6640.0
3140,ZINC000266909440,CO[C@@H](CNC(=O)C(=O)Nc1ccc(C(N)=O)c(F)c1)C(C)C,-7.97873,CO[C@@H](CNC(=O)C(=O)Nc1ccc(C(N)=O)c(F)c1)C(C)C,-7.97873,,-0.0,0,9306.0
8160,ZINC000494347876,COCCN(CC(=O)N[C@@H]1C[C@@H](C)O[C@@H](C)C1)C(=O)OC(C)(C)C,-4.7758400000000005,COCCN(CC(=O)N[C@@H]1C[C@@H](C)O[C@@H](C)C1)C(=O)OC(C)(C)C,-4.7758400000000005,,-0.0,0,941.0
4341,ZINC000516596428,CN(CCN1CCCC1=O)C(=O)c1cccc2ncnn21,-6.585210000000001,CN(CCN1CCCC1=O)C(=O)c1cccc2ncnn12,-6.585210000000001,,-0.0,0,5866.0
3089,ZINC000680588812,COc1cc2c(cc1C(=O)N1CC(C(F)F)C1)OCO2,-5.55391,COc1cc2c(cc1C(=O)N1CC(C(F)F)C1)OCO2,-5.55391,,-0.0,0,2525.0
4672,ZINC000563851018,NC(=O)CC1(CNC(=O)N2CCC(OC3CCCC3)CC2)CC1,-6.78344,NC(=O)CC1(CNC(=O)N2CCC(OC3CCCC3)CC2)CC1,-6.78344,,-0.0,0,6609.0
2608,ZINC000370858627,O=C([C@H]1COc2ccc(Cl)cc2C1)N1CCO[C@H](c2nn[nH]n2)C1,-5.03156,O=C([C@H]1COc2ccc(Cl)cc2C1)N1CCO[C@H](c2nn[nH]n2)C1,-5.03156,,-0.0,0,1348.0
4904,ZINC000287369045,C[C@@H]1C[C@H](N2CCOCC2)CN1C(=O)c1ccnc(F)c1,-5.15166,C[C@@H]1C[C@H](N2CCOCC2)CN1C(=O)c1ccnc(F)c1,-5.15166,,-0.0,0,1578.0
6751,ZINC000566920318,O=C(O)c1occc1CN1CCO[C@@H](c2cccs2)C1,-4.68254,O=C(O)c1occc1CN1CCO[C@@H](c2cccs2)C1,-4.68254,,-0.0,0,836.0
5274,ZINC000276361875,CCc1nn(C)c(Cl)c1CN1CCN(Cc2ccc(F)cn2)CC1,-8.08882,CCc1nn(C)c(Cl)c1CN1CCN(Cc2ccc(F)cn2)CC1,-8.08882,,-0.0,0,9416.0
2166,ZINC000329439001,CCn1nnnc1-c1cccc(N=C(O)N2CCOCC3(CC3)C2)c1,-7.1689300000000005,CCn1nnnc1-c1cccc(N=C(O)N2CCOCC3(CC3)C2)c1,-7.1689300000000005,,-0.0,0,7737.0
3264,ZINC000349356048,O=C(Cn1ccc(=O)c2ccccc21)N1C[C@H]2CCC[C@H]21,-5.22029,O=C(Cn1ccc(=O)c2ccccc21)N1C[C@H]2CCC[C@H]21,-5.22029,,-0.0,0,1722.0
4961,ZINC000627516040,CCC[C@H](C)C(=O)NCCNC(=O)[C@@H](OC)c1ccc(F)cc1,-7.29754,CCC[C@H](C)C(=O)NCCNC(=O)[C@@H](OC)c1ccc(F)cc1,-7.29754,,-0.0,0,8073.0
4893,ZINC000660464958,CC[C@H](NC(=O)NC[C@@H]1CCOC1(C)C)C(C)C,-5.51431,CC[C@H](NC(=O)NC[C@@H]1CCOC1(C)C)C(C)C,-5.51431,,-0.0,0,2426.0
5957,ZINC000656489732,Fc1ccc(N2CC[C@H](CNCc3cnccn3)C2)cc1,-7.414969999999999,Fc1ccc(N2CC[C@H](CNCc3cnccn3)C2)cc1,-7.414969999999999,,-0.0,0,8359.0
6724,ZINC000375696866,F[C@H]1C[C@@H](CNc2nc[nH]c3ncnc2-3)N(c2cccnn2)C1,-5.7858,F[C@H]1C[C@@H](CNc2nc[nH]c3ncnc2-3)N(c2cccnn2)C1,-5.7858,,-0.0,0,3212.0
3931,ZINC000342397556,NCCN(CCO)CC(=O)N1CCO[C@H]2CCCC[C@@H]21,-7.43012,NCCN(CCO)CC(=O)N1CCO[C@H]2CCCC[C@@H]21,-7.43012,,-0.0,0,8390.0
5060,ZINC000430041323,Cc1ccccc1CS(=O)(=O)N1CC(C)=C[C@H](C)C1,-5.4993300000000005,CC1=C[C@H](C)CN(S(=O)(=O)Cc2ccccc2C)C1,-5.4993300000000005,,-0.0,0,2388.0
7609,ZINC000346551059,CCN1CCCC[C@@H]1CN[C@H](c1ccc(F)cc1)c1cnccn1,-6.49712,CCN1CCCC[C@@H]1CN[C@H](c1ccc(F)cc1)c1cnccn1,-6.49712,,-0.0,0,5575.0
7089,ZINC000132500752,C[C@@H]1CCCC[C@@H]1N(C)C(=O)CN(c1cccc(C#N)c1)S(C)(=O)=O,-3.60651,C[C@@H]1CCCC[C@@H]1N(C)C(=O)CN(c1cccc(C#N)c1)S(C)(=O)=O,-3.60651,,-0.0,0,172.0
6055,ZINC000602472599,CCO[C@@H]1C[C@@H](O)C12CCN(Cc1cc(C(=O)OC)c(C)[nH]1)CC2,-7.23319,CCO[C@@H]1C[C@@H](O)C12CCN(Cc1cc(C(=O)OC)c(C)[nH]1)CC2,-7.23319,,-0.0,0,7923.0
2375,ZINC000459547938,CC[C@@H]1C[C@@H](CN2CC(N3CCNC3=O)C2)CCO1,-6.45249,CC[C@@H]1C[C@@H](CN2CC(N3CCNC3=O)C2)CCO1,-6.45249,,-0.0,0,5438.0
5583,ZINC000189853270,COC(=O)c1ccccc1NC(=O)C(=O)N1[C@@H](C)C[C@H]2CCCC[C@@H]21,-2.96507,COC(=O)c1ccccc1NC(=O)C(=O)N1[C@@H](C)C[C@H]2CCCC[C@@H]21,-2.96507,,-0.0,0,59.0
7014,ZINC000037462960,C[C@H]1C[C@H](C)CN(S(=O)(=O)N[C@@H](CCC(N)=O)C(=O)O)C1,-6.06721,C[C@H]1C[C@H](C)CN(S(=O)(=O)N[C@@H](CCC(N)=O)C(=O)O)C1,-6.06721,,-0.0,0,4144.0
9833,ZINC000583690536,Cc1cccc(CCN2CCN([C@@H](C)C(=O)NC3CCCC3)CC2)n1,-7.861169999999999,Cc1cccc(CCN2CCN([C@@H](C)C(=O)NC3CCCC3)CC2)n1,-7.861169999999999,,-0.0,0,9138.0
6716,ZINC000567804319,C[C@@H]1CCCC[C@H]1OCCNS(=O)(=O)c1n[nH]cc1C(=O)O,-5.50851,C[C@@H]1CCCC[C@H]1OCCNS(=O)(=O)c1n[nH]cc1C(=O)O,-5.50851,,-0.0,0,2412.0
3816,ZINC000179459951,COC[C@H](O)CCNC(=O)N[C@@H]1CCSc2ccc(Cl)cc21,-6.69681,COC[C@H](O)CCNC(=O)N[C@@H]1CCSc2ccc(Cl)cc21,-6.69681,,-0.0,0,6285.0
276,ZINC000506607365,CCN1CC[C@H](N(C)C(=O)NCCOc2ccccc2Cl)C[C@@H]1C,-7.458369999999999,CCN1CC[C@H](N(C)C(=O)NCCOc2ccccc2Cl)C[C@@H]1C,-7.458369999999999,,-0.0,0,8457.0
271,ZINC000353588396,CC1CCN(CC(=O)N[C@H](c2ccc(F)cc2)[C@@H]2CCCO2)CC1,-7.612319999999999,CC1CCN(CC(=O)N[C@H](c2ccc(F)cc2)[C@@H]2CCCO2)CC1,-7.612319999999999,,-0.0,0,8754.0
4548,ZINC000623954879,N=c1nc(N2CCCC[C@H](N3CCCC3)C2)[nH]c(=N)[nH]1,-7.011889999999999,N=c1nc(N2CCCC[C@H](N3CCCC3)C2)[nH]c(=N)[nH]1,-7.011889999999999,,-0.0,0,7311.0
9357,ZINC000078385978,CC(C)N(CC(=O)Nc1ccc(F)cc1)C(=O)c1ccco1,-7.272360000000001,CC(C)N(CC(=O)Nc1ccc(F)cc1)C(=O)c1ccco1,-7.272360000000001,,-0.0,0,8025.0
9676,ZINC000274961418,COc1cc(NC(=O)N2CC(NC(=O)C3CCC3)C2)cc(OC)c1,-7.52285,COc1cc(NC(=O)N2CC(NC(=O)C3CCC3)C2)cc(OC)c1,-7.52285,,-0.0,0,8578.0
7674,ZINC000346266027,CC[C@@H](C)n1ncc(C(=O)N[C@H](C)CN(C)C)c1C1CC1,-5.35473,CC[C@@H](C)n1ncc(C(=O)N[C@H](C)CN(C)C)c1C1CC1,-5.35473,,-0.0,0,2054.0
4329,ZINC000577748378,CC(C)N1CC[C@H](N(C)C(=O)C(=O)NC[C@H](C)C2CCCCC2)C1,-6.7025,CC(C)N1CC[C@H](N(C)C(=O)C(=O)NC[C@H](C)C2CCCCC2)C1,-6.7025,,-0.0,0,6299.0
1026,ZINC000043627031,CN(CC(=O)N1CCc2ccccc2C1)Cc1ccc(F)cc1F,-7.92686,CN(CC(=O)N1CCc2ccccc2C1)Cc1ccc(F)cc1F,-7.92686,,-0.0,0,9243.0
8695,ZINC000190909582,C[C@H](O)[C@@](C)(CNC(=O)C(=O)Nc1ccon1)Cc1ccccc1,-8.25858,C[C@H](O)[C@@](C)(CNC(=O)C(=O)Nc1ccon1)Cc1ccccc1,-8.25858,,-0.0,0,9568.0
5006,ZINC000517909300,CCCc1ccc(C(=O)Nc2ccccc2C(C)=O)cc1,-6.38991,CCCc1ccc(C(=O)Nc2ccccc2C(C)=O)cc1,-6.38991,,-0.0,0,5232.5
5197,ZINC000232753644,Cc1ccccc1CN1CC[C@@](C(=O)O)(C(C)C)C1,-5.9505,Cc1ccccc1CN1CC[C@@](C(=O)O)(C(C)C)C1,-5.9505,,-0.0,0,3742.0
2547,ZINC000342690938,CC1(C)CC[C@@H]1NCCNC(=O)c1ccc(Cl)cc1,-8.13776,CC1(C)CC[C@@H]1NCCNC(=O)c1ccc(Cl)cc1,-8.13776,,-0.0,0,9458.0
3361,ZINC000458044690,Cc1cc(C)c(C(=O)N2C[C@@H](O)[C@H](CO)C2)cc1Br,-6.4835,Cc1cc(C)c(C(=O)N2C[C@@H](CO)[C@H](O)C2)cc1Br,-6.4835,,-0.0,0,5536.0
366,ZINC000329068171,CCn1nncc1C(O)=Nc1cnc2c(c1)CCCC2,-6.14842,CCn1nncc1C(O)=Nc1cnc2c(c1)CCCC2,-6.14842,,-0.0,0,4421.0
1652,ZINC000025179375,CO/N=C/c1ccc(C(=O)N[C@H]2CCOc3ccccc32)cc1,-5.479480000000001,CO/N=C/c1ccc(C(=O)N[C@H]2CCOc3ccccc32)cc1,-5.479480000000001,,-0.0,0,2342.0
8297,ZINC000571319285,Cc1ccc(S(=O)(=O)N[C@@H]2C[C@@H](C)O[C@@H](C)C2)cc1C(=O)OC(C)C,-5.46874,Cc1ccc(S(=O)(=O)N[C@@H]2C[C@@H](C)O[C@@H](C)C2)cc1C(=O)OC(C)C,-5.46874,,-0.0,0,2314.0
