,compound_id,smiles,score,rdkit_smiles,VALUE_NUM_mean,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate,rank
948,2564478,OC(=O)C1CCC(CNCc2cccc(Br)c2)CC1,-2.354,O=C(O)C1CCC(CNCc2cccc(Br)c2)CC1,-2.354,,-0.0,0,142.5
949,2561088,COC(=O)NCc1cccc(Br)c1,-2.628,COC(=O)NCc1cccc(Br)c1,-2.628,,-0.0,0,191.0
950,2565117,S=C(NC1CCCCC1)NC1CCSc2ccccc12,-3.455,S=C(NC1CCCCC1)NC1CCSc2ccccc21,-3.455,,-0.0,0,539.0
951,2523426,NS(=O)(=O)c1ccc(NC(=O)NC2CCSc3ccccc23)cc1,-3.443,NS(=O)(=O)c1ccc(NC(=O)NC2CCSc3ccccc32)cc1,-3.443,,-0.0,0,533.0
952,2562345,O=C(OCCCc1ccccc1)\C=C\c1ccccc1,-2.784,O=C(/C=C/c1ccccc1)OCCCc1ccccc1,-2.784,,-0.0,0,238.0
953,2577531,C(NC1CCCC1)C(N1CCCC1)c1ccco1,-3.881,c1coc(C(CNC2CCCC2)N2CCCC2)c1,-3.881,,-0.0,0,785.0
954,2567250,CCN(CC)C(S)=NCC=C,-2.839,C=CCN=C(S)N(CC)CC,-2.839,,-0.0,0,261.5
955,2519196,CN=c1c(NC(=O)C2CN(C(=O)C2)c2ccccc2)c(O)oc2ccccc12,-4.51,CN=c1c(NC(=O)C2CC(=O)N(c3ccccc3)C2)c(O)oc2ccccc12,-4.51,,-0.0,0,1014.5
956,2513000,CN=c1c(NC(=O)NC2CCCC2)c(O)oc2ccccc12,-4.321,CN=c1c(NC(=O)NC2CCCC2)c(O)oc2ccccc12,-4.321,,-0.0,0,945.0
957,2525394,O=C(Nc1nnc[nH]1)C1CN(C(=O)C1)c1ccccc1,-3.658,O=C(Nc1nnc[nH]1)C1CC(=O)N(c2ccccc2)C1,-3.658,,-0.0,0,661.5
958,2513031,CCN=c1c(NC(=O)Nc2ccccc2F)c(O)oc2ccccc12,-3.854,CCN=c1c(NC(=O)Nc2ccccc2F)c(O)oc2ccccc12,-3.854,,-0.0,0,772.5
959,2514434,CCCN=c1c(NC(=O)CC(=O)OCC)c(O)oc2ccccc12,-3.279,CCCN=c1c(NC(=O)CC(=O)OCC)c(O)oc2ccccc12,-3.279,,-0.0,0,439.0
960,2518108,COc1ccccc1N(CC(=O)NC1CCCC1)S(C)(=O)=O,-4.457,COc1ccccc1N(CC(=O)NC1CCCC1)S(C)(=O)=O,-4.457,,-0.0,0,998.0
961,2505229,COc1ccccc1N(CC(=O)N\N=C\c1ccccc1C(O)=O)S(C)(=O)=O,-2.353,COc1ccccc1N(CC(=O)N/N=C/c1ccccc1C(=O)O)S(C)(=O)=O,-2.353,,-0.0,0,141.0
962,2518614,CN(C)S(=O)(=O)N(CC(=O)NC1CC1)c1ccccc1,-3.398,CN(C)S(=O)(=O)N(CC(=O)NC1CC1)c1ccccc1,-3.398,,-0.0,0,505.0
963,2564477,CCOC(=O)C1CCC(CNCc2c(Cl)cccc2Cl)CC1,-2.556,CCOC(=O)C1CCC(CNCc2c(Cl)cccc2Cl)CC1,-2.556,,-0.0,0,170.0
964,2508220,CCOC(=O)c1ccc2[nH]c3ccccc3c2c1,-3.523,CCOC(=O)c1ccc2[nH]c3ccccc3c2c1,-3.523,,-0.0,0,584.0
965,2573163,OCCNS(=O)(=O)c1ccc2ccccc2c1,-3.613,O=S(=O)(NCCO)c1ccc2ccccc2c1,-3.613,,-0.0,0,630.0
966,2571190,O=S(=O)(NCC1CC1)c1ccc2ccccc2c1,-3.693,O=S(=O)(NCC1CC1)c1ccc2ccccc2c1,-3.693,,-0.0,0,681.0
967,2561666,O=S(=O)(NCc1cccs1)c1ccc2ccccc2c1,-3.653,O=S(=O)(NCc1cccs1)c1ccc2ccccc2c1,-3.653,,-0.0,0,659.0
968,2573744,OCCNS(=O)(=O)c1ccc(cc1)-c1ccc(cc1)S(=O)(=O)NCCO,-2.738,O=S(=O)(NCCO)c1ccc(-c2ccc(S(=O)(=O)NCCO)cc2)cc1,-2.738,,-0.0,0,227.0
969,2565028,OCCNS(=O)(=O)c1ccc(Cl)cc1,-4.758,O=S(=O)(NCCO)c1ccc(Cl)cc1,-4.758,,-0.0,0,1076.0
970,2573842,CC(C)(C)c1ccc(cc1)S(=O)(=O)NCCO,-3.652,CC(C)(C)c1ccc(S(=O)(=O)NCCO)cc1,-3.652,,-0.0,0,657.5
971,2579796,O=S(=O)(Cc1ccccc1)c1ccc2ccccc2c1,-3.878,O=S(=O)(Cc1ccccc1)c1ccc2ccccc2c1,-3.878,,-0.0,0,784.0
972,2523801,Cc1cc2cc(NS(=O)(=O)c3ccc4ccccc4c3)ccc2[nH]1,-4.613,Cc1cc2cc(NS(=O)(=O)c3ccc4ccccc4c3)ccc2[nH]1,-4.613,,-0.0,0,1037.0
973,2578048,[O-][N+](=O)c1ccccc1S(=O)(=O)NCc1cccs1,-5.1,O=[N+]([O-])c1ccccc1S(=O)(=O)NCc1cccs1,-5.1,,-0.0,0,1156.5
974,2578139,Oc1cccc(c1)C(=O)OCC1CCCO1,-4.832,O=C(OCC1CCCO1)c1cccc(O)c1,-4.832,,-0.0,0,1098.0
975,2532906,O=C(COC(=O)CSc1nc2ccccc2o1)NC1CC1,-3.047,O=C(COC(=O)CSc1nc2ccccc2o1)NC1CC1,-3.047,,-0.0,0,343.5
976,2523602,CC1CCC(CC1)NC(=O)CSc1nc2cc(ccc2o1)[N+]([O-])=O,-2.652,CC1CCC(NC(=O)CSc2nc3cc([N+](=O)[O-])ccc3o2)CC1,-2.652,,-0.0,0,199.0
977,2582190,COc1ccc(cc1C(=O)NC(c1ccccc1)c1ccccc1)C12CC3CC(C1)CC(C3)(C2)c1ccc(OC)c(c1)C(=O)NC(c1ccccc1)c1ccccc1,-2.731,COc1ccc(C23CC4CC(C2)CC(c2ccc(OC)c(C(=O)NC(c5ccccc5)c5ccccc5)c2)(C4)C3)cc1C(=O)NC(c1ccccc1)c1ccccc1,-2.731,,-0.0,0,223.0
978,2500130,O=C(C1CCN(CC1)S(=O)(=O)N1CCC2(CC1)OCCO2)N1CCN(Cc2ccccc2)CC1,-5.201,O=C(C1CCN(S(=O)(=O)N2CCC3(CC2)OCCO3)CC1)N1CCN(Cc2ccccc2)CC1,-5.201,,-0.0,0,1168.0
979,2500569,Cc1nn(Cc2ccccc2Cl)c(C)c1C(=O)OCC(=O)NC1CCS(=O)(=O)C1,-3.584,Cc1nn(Cc2ccccc2Cl)c(C)c1C(=O)OCC(=O)NC1CCS(=O)(=O)C1,-3.584,,-0.0,0,617.0
980,2500568,CS(=O)(=O)c1ccc(cc1[N+]([O-])=O)C(=O)OCC(=O)NC1CCS(=O)(=O)C1,-5.737,CS(=O)(=O)c1ccc(C(=O)OCC(=O)NC2CCS(=O)(=O)C2)cc1[N+](=O)[O-],-5.737,,-0.0,0,1219.0
981,2501218,CCOC(=O)c1cnc(SCC(=O)OCC(=O)NC2CCS(=O)(=O)C2)nc1N,-4.943,CCOC(=O)c1cnc(SCC(=O)OCC(=O)NC2CCS(=O)(=O)C2)nc1N,-4.943,,-0.0,0,1125.0
982,2512132,Clc1ccc(OCC(=O)NC2CCS(=O)(=O)C2)c(Cl)c1,-5.457,O=C(COc1ccc(Cl)cc1Cl)NC1CCS(=O)(=O)C1,-5.457,,-0.0,0,1193.0
983,2506017,CN(C)S(=O)(=O)c1ccc2nnn(OCC(=O)NC3CCS(=O)(=O)C3)c2c1,-4.694,CN(C)S(=O)(=O)c1ccc2nnn(OCC(=O)NC3CCS(=O)(=O)C3)c2c1,-4.694,,-0.0,0,1058.5
984,2580992,C(SC1=NCCCN1)c1ccccc1,-3.213,c1ccc(CSC2=NCCCN2)cc1,-3.213,,-0.0,0,403.0
985,2565084,C(SC1=NCCCN1)c1csc(n1)-c1ccccc1,-3.953,c1ccc(-c2nc(CSC3=NCCCN3)cs2)cc1,-3.953,,-0.0,0,811.5
986,2570205,C(SC1=NCCCN1)c1cccc2ccccc12,-3.558,c1ccc2c(CSC3=NCCCN3)cccc2c1,-3.558,,-0.0,0,602.0
987,2516168,Cn1c(SCc2cccc3ccccc23)nc2c1n(C)c(=O)n(C)c2=O,-6.219,Cn1c(=O)c2nc(SCc3cccc4ccccc34)n(C)c2n(C)c1=O,-6.219,,-0.0,0,1250.0
988,2553970,CC(C)(Sc1nc2CCCCc2cc1C#N)C(O)=O,-4.107,CC(C)(Sc1nc2c(cc1C#N)CCCC2)C(=O)O,-4.107,,-0.0,0,872.5
989,2517810,CCOC(=O)CSc1nc2CCCCc2cc1C#N,-1.585,CCOC(=O)CSc1nc2c(cc1C#N)CCCC2,-1.585,,-0.0,0,35.0
990,2514087,CC1=C(C(=O)NCc2ccccc2C)C2(CCN(CC2)S(=O)(=O)c2cccs2)OC1=O,-6.259,CC1=C(C(=O)NCc2ccccc2C)C2(CCN(S(=O)(=O)c3cccs3)CC2)OC1=O,-6.259,,-0.0,0,1251.0
991,2512370,CC(=O)N1CCC2(CC1)OC(=O)C(C)=C2C(=O)NCCN1CCCC1,-4.303,CC(=O)N1CCC2(CC1)OC(=O)C(C)=C2C(=O)NCCN1CCCC1,-4.303,,-0.0,0,934.0
992,2512453,CC1=C(C(=O)Nc2cc(C)cc(C)c2)C2(CCCCCC2)OC1=O,-5.906,CC1=C(C(=O)Nc2cc(C)cc(C)c2)C2(CCCCCC2)OC1=O,-5.906,,-0.0,0,1230.0
993,2518723,Cn1c2ccc(cc2oc1=O)S(=O)(=O)Nc1ccccc1C(O)=O,-3.941,Cn1c(=O)oc2cc(S(=O)(=O)Nc3ccccc3C(=O)O)ccc21,-3.941,,-0.0,0,807.0
