,Unnamed: 0,ID,SMILES,score,rdkit_smiles,VALUE_NUM_mean,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate
70690,70691,CPD000094438,CCN(CC)CCNC(=O)c1cn(CC)c2ccc(cc2c1=O)S(=O)(=O)N(C)C,-4.172,CCN(CC)CCNC(=O)c1cn(CC)c2ccc(S(=O)(=O)N(C)C)cc2c1=O,-4.172,,-0.0,0
73558,73559,CPD002432437,CCN(CC)CCC12CC3CC(CC(C3)C1)C2,-4.036,CCN(CC)CCC12CC3CC(CC(C3)C1)C2,-4.036,,-0.0,0
11895,11896,CPD002485636,Clc1ccc(cc1)C2=Cc3ccc(OCc4nnn[nH]4)cc3OC2=O,-6.082,O=c1oc2cc(OCc3nnn[nH]3)ccc2cc1-c1ccc(Cl)cc1,-6.082,,-0.0,0
6396,6397,CPD002431560,FC(F)(F)c1cccc(CS(=O)Cc2ccc(Cl)cc2Cl)c1,-6.667,[O-][S+](Cc1cccc(C(F)(F)F)c1)Cc1ccc(Cl)cc1Cl,-6.667,,-0.0,0
20420,20421,CPD002419154,CC(Sc1ncnc2ccccc12)C(=O)NC3CCCC3,-5.663,CC(Sc1ncnc2ccccc12)C(=O)NC1CCCC1,-5.663,,-0.0,0
39472,39473,CPD002438339,COc1ccccc1C(=O)NC2CC3CCC2C3,-5.077,COc1ccccc1C(=O)NC1CC2CCC1C2,-5.077,,-0.0,0
83111,83112,CPD002432581,CCOC(=O)CCCNC(=O)CCl,-1.545,CCOC(=O)CCCNC(=O)CCl,-1.545,,-0.0,0
43596,43597,CPD002417198,Clc1cc(COC(=O)C23CC4CC(CC(Cl)(C4)C2)C3)cc5OCCCOc15,-4.968,O=C(OCc1cc(Cl)c2c(c1)OCCCO2)C12CC3CC(CC(Cl)(C3)C1)C2,-4.968,,-0.0,0
53802,53803,CPD002395452,COc1cccc(CCC(=O)Nc2nc(C)c(s2)C(=O)C)c1OC,-4.708,COc1cccc(CCC(=O)Nc2nc(C)c(C(C)=O)s2)c1OC,-4.708,,-0.0,0
50158,50159,CPD002289629,CNC(=O)C(C)S(=O)(=O)Cc1cc(Cl)c2OCOc2c1,-4.803,CNC(=O)C(C)S(=O)(=O)Cc1cc(Cl)c2c(c1)OCO2,-4.803,,-0.0,0
31848,31849,CPD000041386,CC(C)OC(=O)C(C#N)c1nc2ccccc2nc1N3CCN(Cc4ccccc4)CC3,-5.283,CC(C)OC(=O)C(C#N)c1nc2ccccc2nc1N1CCN(Cc2ccccc2)CC1,-5.283,,-0.0,0
41650,41651,CPD002452851,Cn1c(=O)n(C)c2ncn(CC(=O)Nc3cccc(c3)[N+](=O)[O-])c2c1=O,-5.02,Cn1c(=O)c2c(ncn2CC(=O)Nc2cccc([N+](=O)[O-])c2)n(C)c1=O,-5.02,,-0.0,0
2772,2772,CPD002442569,OC(=O)c1ccc2oc(nc2c1)c3cccc(Cl)c3,-7.906,O=C(O)c1ccc2oc(-c3cccc(Cl)c3)nc2c1,-7.906,,-0.0,0
1125,1125,CPD000652727,CCCc1cc(=O)oc2c3CCC(C)(C)Oc3cc(OCC(=O)NC[C@H]4CC[C@@H](CC4)C(=O)O)c12,-8.646,CCCc1cc(=O)oc2c3c(cc(OCC(=O)NC[C@H]4CC[C@H](C(=O)O)CC4)c12)OC(C)(C)CC3,-8.646,,-0.0,0
20449,20450,CPD000021619,Cc1sc2ncn(CC(=O)NCCCC(=O)N3CCN(CC3)c4ncccn4)c(=O)c2c1C,-5.662,Cc1sc2ncn(CC(=O)NCCCC(=O)N3CCN(c4ncccn4)CC3)c(=O)c2c1C,-5.662,,-0.0,0
