,ID,SMILES,score,rdkit_smiles,VALUE_NUM_mean,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate
2229,CPD002394385,OC(=O)c1nn(CC(=O)NCc2ccc(Cl)cc2)c(=O)c3ccccc13,-9.177,O=C(Cn1nc(C(=O)O)c2ccccc2c1=O)NCc1ccc(Cl)cc1,-9.177,,-0.0,0
2230,CPD002375156,OC(=O)CC1N(Cc2c(F)cccc2Cl)CCNC1=O,-9.176,O=C(O)CC1C(=O)NCCN1Cc1c(F)cccc1Cl,-9.176,,-0.0,0
2231,CPD002454445,Cc1ccc(cc1)c2csc(Nc3ccc(C(=O)O)c(O)c3)n2,-9.174,Cc1ccc(-c2csc(Nc3ccc(C(=O)O)c(O)c3)n2)cc1,-9.174,,-0.0,0
2232,CPD002489317,OC(=O)CCCNC(=O)c1cc(nc2ccccc12)c3ccccc3,-9.172,O=C(O)CCCNC(=O)c1cc(-c2ccccc2)nc2ccccc12,-9.172,,-0.0,0
2233,CPD000650525,CC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)n2c(=O)[nH]c3ccccc3c2=O)C(=O)N[C@@H](Cc4ccccc4)C(=O)O,-9.172,CC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)n1c(=O)[nH]c2ccccc2c1=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,-9.172,,-0.0,0
2234,CPD002438119,Cc1ccc2nc(NC3=NC(CC(=O)O)C(=O)N3)nc(C)c2c1,-9.168,Cc1ccc2nc(NC3=NC(CC(=O)O)C(=O)N3)nc(C)c2c1,-9.168,,-0.0,0
2235,CPD002486486,CC(C)[C@H](NC(=O)[C@@H](NC(=O)C1CN(C(=O)C1)c2ccc(F)cc2)C(C)C)C(=O)O,-9.165,CC(C)[C@H](NC(=O)[C@@H](NC(=O)C1CC(=O)N(c2ccc(F)cc2)C1)C(C)C)C(=O)O,-9.165,,-0.0,0
2236,CPD002394466,Cc1c(Cl)cccc1NC(=O)Cn2nc(C(=O)O)c3ccccc3c2=O,-9.164,Cc1c(Cl)cccc1NC(=O)Cn1nc(C(=O)O)c2ccccc2c1=O,-9.164,,-0.0,0
2237,CPD002409453,COc1ccc(cc1OC)C2CC(=NN2C(=O)CCC(=O)O)c3ccsc3,-9.163,COc1ccc(C2CC(c3ccsc3)=NN2C(=O)CCC(=O)O)cc1OC,-9.163,,-0.0,0
2238,CPD000097389,CCn1c(COc2cccc3cccnc23)nnc1SCC(=O)O,-9.157,CCn1c(COc2cccc3cccnc23)nnc1SCC(=O)O,-9.157,,-0.0,0
2239,CPD002419012,OC(=O)c1ccc(O)c(Cl)c1,-9.154,O=C(O)c1ccc(O)c(Cl)c1,-9.154,,-0.0,0
2240,CPD002439285,CC(C)(C)C(=O)Nc1ccc(cc1)C(=O)Nc2ccc(CC(=O)O)cc2,-9.152,CC(C)(C)C(=O)Nc1ccc(C(=O)Nc2ccc(CC(=O)O)cc2)cc1,-9.152,,-0.0,0
2241,CPD001815388,OC(=O)CSCc1ccccc1,-9.151,O=C(O)CSCc1ccccc1,-9.151,,-0.0,0
2242,CPD002484856,CC(C)n1cc2C(=CC(=O)N(CCC(=O)O)c2n1)C(F)(F)F,-9.149,CC(C)n1cc2c(C(F)(F)F)cc(=O)n(CCC(=O)O)c2n1,-9.149,,-0.0,0
2243,CPD002443789,CC(C)(C)c1ccc(cc1)C(=O)Nc2ccc(CCC(=O)O)cc2,-9.149,CC(C)(C)c1ccc(C(=O)Nc2ccc(CCC(=O)O)cc2)cc1,-9.149,,-0.0,0
